Order_ID,Order_Date,Month,Year,Customer_ID,Customer_Name,Product,Category,Location,Region,Salesperson,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discounted_price,Total_sales,Payment_Mode,Lead_Source,Order_Status,Sales_Category,Lost_Scale
ORD100001,11/19/2024,Nov,2024,CUST14309,Kunal_Mehta,Smartphone,Electronics,Chennai,South,Rahul_Das,5,60700,7,303500,21245,282255,Debit_Card,Instagram,Completed,High,Good_Sale
ORD100002,10/20/2024,Oct,2024,CUST14913,Priya_Das,Air_Conditioner,Appliances,Hyderabad,South,Arjun_Mehta,2,48200,2,96400,1928,94472,Bank_Transfer,Store_Visit,Completed,Medium,Good_Sale
ORD100003,1/26/2025,Jan,2025,CUST17788,Priya_Das,Refrigerator,Appliances,Kolkata,East,Neha_Singh,2,72500,5,145000,7250,137750,Bank_Transfer,Marketplace,Cancelled,Medium,Lost
ORD100004,7/5/2024,Jul,2024,CUST10448,Kunal_Mehta,Running_Shoes,Fashion,Delhi,North,Ananya_Dutta,1,8400,15,8400,1260,7140,Cash,Marketplace,Completed,Low,Good_Sale
ORD100005,4/28/2024,Apr,2024,CUST12100,Sourav_Sen,Running_Shoes,Fashion,Chennai,South,Ananya_Dutta,5,4400,10,22000,2200,19800,Net_Banking,Facebook,Pending,Medium,Good_Sale
ORD100006,5/11/2025,May,2025,CUST11110,Sneha_Roy,Mixer_Grinder,Home_&_Kitchen,Chennai,South,Karan_Bose,1,4300,20,4300,860,3440,Debit_Card,Website,Completed,Low,Good_Sale
ORD100007,9/16/2025,Sep,2025,CUST13404,Priya_Das,Smartphone,Electronics,Chennai,South,Arjun_Mehta,1,49800,12,49800,5976,43824,UPI,Referral,Completed,Medium,Good_Sale
ORD100008,12/12/2024,Dec,2024,CUST12111,Riya_Ghosh,Refrigerator,Appliances,Delhi,North,Sneha_Gupta,5,69500,5,347500,17375,330125,Net_Banking,Google_Ads,Completed,High,Good_Sale
ORD100009,2/20/2024,Feb,2024,CUST16475,Rahul_Sharma,Office_Chair,Furniture,Chennai,South,Karan_Bose,2,5500,12,11000,1320,9680,Bank_Transfer,Facebook,Completed,Low,Good_Sale
ORD100010,12/16/2024,Dec,2024,CUST12740,Neha_Das,Smartphone,Electronics,Kolkata,East,Arjun_Mehta,1,34600,15,34600,5190,29410,Credit_Card,Google_Ads,Returned,Medium,Lost
ORD100011,7/14/2025,Jul,2025,CUST17791,Priya_Das,Jeans,Fashion,Delhi,North,Amit_Roy,2,1400,10,2800,280,2520,Credit_Card,Facebook,Returned,Low,Lost
ORD100012,9/1/2024,Sep,2024,CUST13133,Kunal_Mehta,Bookshelf,Furniture,Hyderabad,South,Amit_Roy,1,7600,12,7600,912,6688,Debit_Card,Email,Completed,Low,Good_Sale
ORD100013,9/19/2024,Sep,2024,CUST11942,Sneha_Roy,Microwave,Appliances,Pune,West,Amit_Roy,2,24700,7,49400,3458,45942,UPI,Website,Completed,Medium,Good_Sale
ORD100014,3/27/2025,Mar,2025,CUST12443,Rahul_Sharma,Air_Conditioner,Appliances,Pune,West,Amit_Roy,1,85100,20,85100,17020,68080,Cash,Referral,Completed,Medium,Good_Sale
ORD100015,2/14/2025,Feb,2025,CUST15631,Neha_Das,Microwave,Appliances,Bhubaneswar,East,Riya_Sen,2,10900,3,21800,654,21146,UPI,Email,Cancelled,Medium,Lost
ORD100016,7/15/2024,Jul,2024,CUST17279,Sourav_Sen,Air_Conditioner,Appliances,Jaipur,North,Vikram_Patel,5,30400,5,152000,7600,144400,Net_Banking,Store_Visit,Completed,Medium,Good_Sale
ORD100017,2/28/2026,Feb,2026,CUST16096,Ananya_Roy,Jeans,Fashion,Bengaluru,South,Amit_Roy,1,2000,3,2000,60,1940,Debit_Card,Email,Pending,Low,Good_Sale
ORD100018,11/1/2025,Nov,2025,CUST16624,Arjun_Singh,Tablet,Electronics,Ahmedabad,West,Ananya_Dutta,4,23900,0,95600,0,95600,Net_Banking,Referral,Pending,Medium,Good_Sale
