employee_id,employee_name,email,department,designation,location,gender,age,marital_status,education,joining_date,experience_years,total_experience,previous_company,salary_lpa,bonus_lpa,performance_rating,last_appraisal_percent,satisfaction_score,attrition_status,attrition_reason,projects_handled,overtime_hours_monthly,work_from_home_days,leaves_taken,exact_salary,monthly_salary,attrtion_status
1001,Amit Sharma,amit.sharma1001@srijanrealty.com,Sales,Sales Intern,Kolkata,Male,22,Single,B.Com,2016-01-01 00:00:00,9,9,Godrej Properties,2.5,0.25,3.2,11,2.5,Left,Better Opportunity,16.0,5.0,0.0,4.0,250000,20833,Left
1002,Priya Das,priya.das1002@srijanrealty.com,Marketing,Digital Marketing Exec,New Town,Female,23,Single,B.Tech,2017-02-02 00:00:00,8,9,DLF,6.5,0.65,3.3,11,2.6,Active,N/A - Active,16.0,8.0,1.0,5.0,650000,54166,Active
1003,Rahul Kumar,rahul.kumar1003@srijanrealty.com,Construction,Civil Engineer,Rajarhat,Male,24,Single,M.Tech,2018-03-03 00:00:00,7,9,Prestige Group,12.0,1.2,3.4,11,2.7,Active,N/A - Active,16.0,11.0,2.0,6.0,1200000,100000,Active
1004,Sneha Ghosh,sneha.ghosh1004@srijanrealty.com,HR,HR Manager,Asansol,Female,25,Single,MBA,2019-04-04 00:00:00,6,9,Brigade Group,14.5,1.45,3.5,12,2.8,Left,Relocation,16.0,14.0,3.0,7.0,1450000,120833,Left
1005,Vikash Banerjee,vikash.banerjee1005@srijanrealty.com,Finance,CFO,Behala,Male,26,Single,BBA,2020-05-05 00:00:00,5,9,Ambuja Neotia,18.0,1.8,3.6,12,2.9,Active,N/A - Active,16.0,17.0,4.0,8.0,1800000,150000,Active
1006,Anjali Patel,anjali.patel1006@srijanrealty.com,IT,IT Support,Dumdum,Female,27,Single,Diploma Civil,2021-06-06 00:00:00,3,3,PS Group,4.5,0.45,3.7,12,3.0,Active,N/A - Active,16.0,20.0,5.0,9.0,450000,37500,Active
1007,Sourav Tiwari,sourav.tiwari1007@srijanrealty.com,Customer Service,Team Lead,Joka,Male,28,Single,B.Arch,2022-07-07 00:00:00,2,3,Siddha Group,10.5,1.05,3.8,12,3.1,Active,N/A - Active,16.0,23.0,6.0,10.0,1050000,87500,Active
1008,Neha Yadav,neha.yadav1008@srijanrealty.com,Legal,Legal Advisor,Ballygunge,Female,29,Single,M.Com,2023-08-08 00:00:00,1,3,Merlin Group,7.5,0.75,3.9,12,3.2,Active,N/A - Active,16.0,26.0,7.0,11.0,750000,62500,Active
1009,Rohan Malhotra,rohan.malhotra1009@srijanrealty.com,Operations,Operations Head,Lake Town,Male,30,Married,BCA,2016-09-09 00:00:00,8,11,Unimark,9.5,0.95,4.0,13,3.3,Active,N/A - Active,16.0,29.0,8.0,12.0,950000,79166,Active
1010,Pooja Verma,pooja.verma1010@srijanrealty.com,Sales,Regional Sales Head,Jadavpur,Female,31,Single,MCA,2017-10-10 00:00:00,7,11,TCS,17.0,1.7,4.1,13,3.4,Active,N/A - Active,16.0,32.0,9.0,13.0,1700000,141666,Active
1011,Arjun Jain,arjun.jain1011@srijanrealty.com,Marketing,Marketing Intern,Howrah,Male,32,Married,LLB,2018-11-11 00:00:00,6,6,Infosys,3.5,0.35,4.2,13,3.5,Active,N/A - Active,16.0,35.0,10.0,14.0,350000,29166,Active
1012,Kavita Srivastava,kavita.srivastava1012@srijanrealty.com,Construction,Project Manager,Digha,Female,33,Single,B.Com,2019-12-12 00:00:00,5,6,Wipro,23.0,2.3,4.3,13,3.6,Active,N/A - Active,16.0,38.0,11.0,15.0,2300000,191666,Active
1013,Manish Thomas,manish.thomas1013@srijanrealty.com,HR,HR Executive,Kolkata,Male,34,Married,B.Tech,2020-01-13 00:00:00,5,7,L&T,9.5,0.95,4.4,13,3.7,Left,Personal,16.0,41.0,12.0,16.0,950000,79166,Left
1014,Ritu Mukherjee,ritu.mukherjee1014@srijanrealty.com,Finance,Finance Manager,New Town,Female,35,Single,M.Tech,2021-02-14 00:00:00,4,7,Godrej Properties,15.0,1.5,4.5,14,3.8,Active,N/A - Active,16.0,44.0,13.0,17.0,1500000,125000,Active
1015,Sanjay Sarkar,sanjay.sarkar1015@srijanrealty.com,IT,IT Manager,Rajarhat,Male,36,Married,MBA,2022-03-15 00:00:00,3,7,DLF,19.0,1.9,4.6,14,3.9,Active,N/A - Active,16.0,7.0,14.0,18.0,1900000,158333,Active
1016,Deepa Bhattacharjee,deepa.bhattacharjee1016@srijanrealty.com,Customer Service,Customer Success Manager,Asansol,Female,37,Single,BBA,2023-04-16 00:00:00,2,2,Prestige Group,14.5,1.45,4.7,14,4.0,Active,N/A - Active,16.0,10.0,15.0,19.0,1450000,120833,Active
1017,Karan De,karan.de1017@srijanrealty.com,Legal,Legal Advisor,Behala,Male,38,Married,Diploma Civil,2016-05-17 00:00:00,9,10,Brigade Group,6.0,0.6,4.8,14,4.1,Active,N/A - Active,16.0,13.0,0.0,20.0,600000,50000,Active
1018,Shreya Majumdar,shreya.majumdar1018@srijanrealty.com,Operations,Operations Head,Dumdum,Female,39,Single,B.Arch,2017-06-18 00:00:00,7,9,Ambuja Neotia,10.0,1.0,4.9,14,4.2,Active,N/A - Active,16.0,16.0,1.0,21.0,1000000,83333,Active
